insight_id,filter,filter_value,insight_key,feature,feature_display,metric,metric_display,direction,effect_size,effect_size_cohen_d,evidence_uplift_pp,evidence_n_has,evidence_n_abs,evidence_baseline_pp,evidence_sig,evidence_p_value,quality_flags,confidence,text
7662c339,Global,Global,Feature,human_presence,Human,Attention_T2B,Attention,positive,small,0.074,1.16,3226,1465,58.66,**,0.00412,multiple_testing_risk,high,Human is associated with 1.2pp higher Attention (n=3226 with feature; **).
608f039e,Global,Global,Feature,human_presence,Human,Persuasion_T2B,Persuasion,positive,small,0.084,1.42,3226,1465,54.03,**,0.00432,multiple_testing_risk,high,Human is associated with 1.4pp higher Persuasion (n=3226 with feature; **).
a1b90922,Global,Global,Feature,human_presence,Human,Likeability_Love_Like_T2B,Likeability,positive,small,0.125,2.17,3226,1465,54.85,***,6e-05,multiple_testing_risk,high,Human is associated with 2.2pp higher Likeability (n=3226 with feature; ***).
75d79951,Global,Global,Feature,human_presence,Human,Experience_Recall_T2B,Recall,positive,small,0.115,2.02,3231,1466,35.67,**,0.00131,multiple_testing_risk,high,Human is associated with 2.0pp higher Recall (n=3231 with feature; **).
868acb11,Global,Global,Feature,human_presence,Human,Brand_Linkage_T2B,Brand Linkage,positive,small,0.05,0.7,3226,1465,53.57,ns,0.0837,multiple_testing_risk,low,Human is associated with 0.7pp higher Brand Linkage (n=3226 with feature; ns).
edd8e14d,Global,Global,Feature,human_presence,Human,Uniqueness_T2B,Uniqueness,positive,small,0.104,1.63,3226,1465,56.25,***,0.00073,multiple_testing_risk,high,Human is associated with 1.6pp higher Uniqueness (n=3226 with feature; ***).
6f1bc970,Global,Global,Feature,human_presence,Human,Shareability_T2B,Shareability,positive,small,0.081,1.41,3221,1463,43.04,*,0.01202,multiple_testing_risk,medium,Human is associated with 1.4pp higher Shareability (n=3221 with feature; *).
05b2a968,Global,Global,Feature,human_presence,Human,SCD_score,SCD Score,positive,small,0.027,0.68,3071,1337,49.44,ns,0.46784,multiple_testing_risk,low,Human is associated with 0.7pp higher SCD Score (n=3071 with feature; ns).
d763ac5e,Global,Global,Feature,food_presence,Food,Attention_T2B,Attention,positive,small,0.144,2.28,1110,3581,58.92,***,1e-05,multiple_testing_risk,high,Food is associated with 2.3pp higher Attention (n=1110 with feature; ***).
f9c6e923,Global,Global,Feature,food_presence,Food,Persuasion_T2B,Persuasion,positive,medium,0.227,3.85,1110,3581,54.1,***,0.0,multiple_testing_risk,high,Food is associated with 3.8pp higher Persuasion (n=1110 with feature; ***).
a96dcb8f,Global,Global,Feature,food_presence,Food,Likeability_Love_Like_T2B,Likeability,positive,medium,0.23,4.0,1110,3581,55.39,***,0.0,multiple_testing_risk,high,Food is associated with 4.0pp higher Likeability (n=1110 with feature; ***).
078d27f1,Global,Global,Feature,food_presence,Food,Experience_Recall_T2B,Recall,positive,medium,0.206,3.64,1113,3584,36.19,***,0.0,multiple_testing_risk,high,Food is associated with 3.6pp higher Recall (n=1113 with feature; ***).
386705be,Global,Global,Feature,food_presence,Food,Brand_Linkage_T2B,Brand Linkage,positive,small,0.12,1.7,1110,3581,53.65,***,0.00069,multiple_testing_risk,high,Food is associated with 1.7pp higher Brand Linkage (n=1110 with feature; ***).
2aefdee3,Global,Global,Feature,food_presence,Food,Uniqueness_T2B,Uniqueness,positive,small,0.107,1.7,1110,3581,56.97,**,0.00102,multiple_testing_risk,high,Food is associated with 1.7pp higher Uniqueness (n=1110 with feature; **).
bbc727b1,Global,Global,Feature,food_presence,Food,Shareability_T2B,Shareability,positive,small,0.115,2.03,1106,3578,43.54,***,0.00047,multiple_testing_risk,high,Food is associated with 2.0pp higher Shareability (n=1106 with feature; ***).
80aac375,Global,Global,Feature,food_presence,Food,SCD_score,SCD Score,positive,small,0.166,4.13,1068,3340,48.92,***,0.0,multiple_testing_risk,high,Food is associated with 4.1pp higher SCD Score (n=1068 with feature; ***).
8c290039,Global,Global,Feature,product_presence,Product,Attention_T2B,Attention,positive,small,0.066,1.04,2627,2064,58.88,**,0.00519,multiple_testing_risk,high,Product is associated with 1.0pp higher Attention (n=2627 with feature; **).
12b53818,Global,Global,Feature,product_presence,Product,Persuasion_T2B,Persuasion,positive,small,0.118,2.02,2627,2064,53.88,***,3e-05,multiple_testing_risk,high,Product is associated with 2.0pp higher Persuasion (n=2627 with feature; ***).
03c8304d,Global,Global,Feature,product_presence,Product,Likeability_Love_Like_T2B,Likeability,positive,small,0.112,1.95,2627,2064,55.25,***,7e-05,multiple_testing_risk,high,Product is associated with 1.9pp higher Likeability (n=2627 with feature; ***).
0584d08b,Global,Global,Feature,product_presence,Product,Experience_Recall_T2B,Recall,positive,small,0.184,3.25,2632,2065,35.23,***,0.0,multiple_testing_risk,high,Product is associated with 3.3pp higher Recall (n=2632 with feature; ***).
92d21cc0,Global,Global,Feature,product_presence,Product,Brand_Linkage_T2B,Brand Linkage,positive,small,0.058,0.83,2627,2064,53.59,*,0.04895,multiple_testing_risk,medium,Product is associated with 0.8pp higher Brand Linkage (n=2627 with feature; *).
9163853a,Global,Global,Feature,product_presence,Product,Uniqueness_T2B,Uniqueness,positive,small,0.051,0.81,2627,2064,56.92,*,0.03504,multiple_testing_risk,medium,Product is associated with 0.8pp higher Uniqueness (n=2627 with feature; *).
436e58af,Global,Global,Feature,product_presence,Product,Shareability_T2B,Shareability,positive,small,0.04,0.71,2622,2062,43.62,ns,0.12127,multiple_testing_risk,low,Product is associated with 0.7pp higher Shareability (n=2622 with feature; ns).
236e3530,Global,Global,Feature,product_presence,Product,SCD_score,SCD Score,positive,small,0.094,2.36,2517,1891,48.57,**,0.00233,multiple_testing_risk,high,Product is associated with 2.4pp higher SCD Score (n=2517 with feature; **).
6e9a3989,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Attention_T2B,Attention,negative,medium,-0.267,-5.11,84,4607,59.55,*,0.04869,multiple_testing_risk,medium,Animatics Cartoons is associated with 5.1pp lower Attention (n=84 with feature; *).
f3c08617,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Persuasion_T2B,Persuasion,negative,medium,-0.228,-4.37,84,4607,55.09,*,0.02216,multiple_testing_risk,medium,Animatics Cartoons is associated with 4.4pp lower Persuasion (n=84 with feature; *).
d6a39ebd,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Likeability_Love_Like_T2B,Likeability,negative,small,-0.16,-3.32,84,4607,56.4,ns,0.16317,multiple_testing_risk,low,Animatics Cartoons is associated with 3.3pp lower Likeability (n=84 with feature; ns).
c3a03e67,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Experience_Recall_T2B,Recall,negative,medium,-0.44,-7.37,84,4613,37.19,***,0.00021,multiple_testing_risk,high,Animatics Cartoons is associated with 7.4pp lower Recall (n=84 with feature; ***).
