rule_id,rule_type,feature,scope,scope_value,metric,severity,text
5123541f,Conflict,aesthetics,Global,Global,Attention vs Persuasion,medium,Aesthetics creates a trade-off: Attention +1.7pp but Persuasion -1.9pp. Check CTA/tone pairing.
ce7701ba,Conflict,occasions,Global,Global,Attention vs Persuasion,medium,Occasions creates a trade-off: Attention +2.2pp but Persuasion -0.1pp. Check CTA/tone pairing.
0c1adb93,Conflict,seasonal,Global,Global,Attention vs Persuasion,medium,Seasonal creates a trade-off: Attention +2.1pp but Persuasion -0.8pp. Check CTA/tone pairing.
852c7f2e,Heterogeneity,human_presence,OU,NAOU,Experience_Recall_T2B,medium,"Human is +2.0pp globally on Recall, but -2.1pp in OU=NAOU. Reversal — drill into OU split before briefing."
e062c359,Heterogeneity,food_presence,OU,INSWA,Experience_Recall_T2B,high,"Food is +3.6pp globally on Recall, but -6.7pp in OU=INSWA. Reversal — drill into OU split before briefing."
0bd6602f,Heterogeneity,food_presence,OU,INSWA,Uniqueness_T2B,medium,"Food is +1.7pp globally on Uniqueness, but -1.7pp in OU=INSWA. Reversal — drill into OU split before briefing."
6ca44537,Heterogeneity,food_presence,OU,INSWA,SCD_score,high,"Food is +4.1pp globally on SCD Score, but -6.3pp in OU=INSWA. Reversal — drill into OU split before briefing."
6da0c0eb,Heterogeneity,product_presence,OU,INSWA,Attention_T2B,medium,"Product is +1.0pp globally on Attention, but -1.5pp in OU=INSWA. Reversal — drill into OU split before briefing."
07860638,Heterogeneity,product_presence,OU,JSK,Attention_T2B,medium,"Product is +1.0pp globally on Attention, but -2.9pp in OU=JSK. Reversal — drill into OU split before briefing."
2c5a15aa,Heterogeneity,product_presence,OU,JSK,Persuasion_T2B,medium,"Product is +2.0pp globally on Persuasion, but -1.6pp in OU=JSK. Reversal — drill into OU split before briefing."
35e5d207,Heterogeneity,product_presence,OU,JSK,Likeability_Love_Like_T2B,medium,"Product is +1.9pp globally on Likeability, but -2.1pp in OU=JSK. Reversal — drill into OU split before briefing."
47d9dc25,Heterogeneity,product_presence,OU,NAOU,SCD_score,high,"Product is +2.4pp globally on SCD Score, but -4.7pp in OU=NAOU. Reversal — drill into OU split before briefing."
e2fd4c44,Heterogeneity,product_presence,OU,INSWA,SCD_score,medium,"Product is +2.4pp globally on SCD Score, but -2.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
11cd8f13,Heterogeneity,animatics_cartoons_presence,OU,LATAM,Attention_T2B,medium,"Animatics Cartoons is -5.1pp globally on Attention, but +2.7pp in OU=LATAM. Reversal — drill into OU split before briefing."
84376a99,Heterogeneity,animatics_cartoons_presence,OU,LATAM,Likeability_Love_Like_T2B,high,"Animatics Cartoons is -3.3pp globally on Likeability, but +5.9pp in OU=LATAM. Reversal — drill into OU split before briefing."
01d1b776,Heterogeneity,animatics_cartoons_presence,OU,LATAM,Brand_Linkage_T2B,high,"Animatics Cartoons is -6.0pp globally on Brand Linkage, but +3.1pp in OU=LATAM. Reversal — drill into OU split before briefing."
4a632b4a,Heterogeneity,animatics_cartoons_presence,OU,LATAM,Uniqueness_T2B,high,"Animatics Cartoons is -2.5pp globally on Uniqueness, but +5.9pp in OU=LATAM. Reversal — drill into OU split before briefing."
82e2cebe,Heterogeneity,animatics_cartoons_presence,OU,LATAM,Shareability_T2B,high,"Animatics Cartoons is -3.7pp globally on Shareability, but +4.8pp in OU=LATAM. Reversal — drill into OU split before briefing."
cbba8ffb,Heterogeneity,animatics_cartoons_presence,OU,LATAM,SCD_score,high,"Animatics Cartoons is -1.4pp globally on SCD Score, but +4.4pp in OU=LATAM. Reversal — drill into OU split before briefing."
0588fad9,Heterogeneity,indoors,OU,NAOU,Experience_Recall_T2B,medium,"Indoors is +3.3pp globally on Recall, but -2.2pp in OU=NAOU. Reversal — drill into OU split before briefing."
04dea543,Heterogeneity,indoors,OU,INSWA,Experience_Recall_T2B,high,"Indoors is +3.3pp globally on Recall, but -7.7pp in OU=INSWA. Reversal — drill into OU split before briefing."
aab2bb97,Heterogeneity,outdoors,OU,GCM,Experience_Recall_T2B,medium,"Outdoors is +4.0pp globally on Recall, but -2.6pp in OU=GCM. Reversal — drill into OU split before briefing."
38c19839,Heterogeneity,outdoors,OU,AOU,Experience_Recall_T2B,medium,"Outdoors is +4.0pp globally on Recall, but -1.7pp in OU=AOU. Reversal — drill into OU split before briefing."
30dc27de,Heterogeneity,color_spectrum,OU,INSWA,Persuasion_T2B,medium,"Color Spectrum is +2.8pp globally on Persuasion, but -1.6pp in OU=INSWA. Reversal — drill into OU split before briefing."
e6b909fb,Heterogeneity,color_spectrum,OU,INSWA,Likeability_Love_Like_T2B,high,"Color Spectrum is +3.8pp globally on Likeability, but -6.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
b57d499b,Heterogeneity,color_spectrum,OU,INSWA,Experience_Recall_T2B,high,"Color Spectrum is +4.1pp globally on Recall, but -8.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
1e5cfa9a,Heterogeneity,color_spectrum,OU,INSWA,Shareability_T2B,high,"Color Spectrum is +1.9pp globally on Shareability, but -3.8pp in OU=INSWA. Reversal — drill into OU split before briefing."
b20b53e0,Heterogeneity,tone,OU,INSWA,Experience_Recall_T2B,high,"Tone is +2.4pp globally on Recall, but -6.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
d0490303,Heterogeneity,products,OU,NAOU,Experience_Recall_T2B,medium,"Products is +3.0pp globally on Recall, but -2.2pp in OU=NAOU. Reversal — drill into OU split before briefing."
8ef62b79,Heterogeneity,products,OU,NAOU,SCD_score,high,"Products is +3.2pp globally on SCD Score, but -3.3pp in OU=NAOU. Reversal — drill into OU split before briefing."
67850a2b,Heterogeneity,products,OU,INSWA,SCD_score,medium,"Products is +3.2pp globally on SCD Score, but -2.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
d1784b88,Heterogeneity,occasions,OU,EME,Shareability_T2B,medium,"Occasions is +1.3pp globally on Shareability, but -2.1pp in OU=EME. Reversal — drill into OU split before briefing."
786b3772,Heterogeneity,passion_point,OU,INSWA,Experience_Recall_T2B,high,"Passion Point is +3.2pp globally on Recall, but -3.9pp in OU=INSWA. Reversal — drill into OU split before briefing."
e81d1833,Heterogeneity,passion_point,OU,INSWA,SCD_score,medium,"Passion Point is +2.3pp globally on SCD Score, but -2.6pp in OU=INSWA. Reversal — drill into OU split before briefing."
10567f6a,Heterogeneity,intrinsic_elements,OU,INSWA,Attention_T2B,medium,"Intrinsic Elements is +2.1pp globally on Attention, but -2.3pp in OU=INSWA. Reversal — drill into OU split before briefing."
2e8a7806,Heterogeneity,intrinsic_elements,OU,INSWA,Likeability_Love_Like_T2B,high,"Intrinsic Elements is +3.1pp globally on Likeability, but -3.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
996b9666,Heterogeneity,intrinsic_elements,OU,AOU,Experience_Recall_T2B,medium,"Intrinsic Elements is +3.6pp globally on Recall, but -2.2pp in OU=AOU. Reversal — drill into OU split before briefing."
37787afb,Heterogeneity,intrinsic_elements,OU,INSWA,Experience_Recall_T2B,medium,"Intrinsic Elements is +3.6pp globally on Recall, but -2.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
1f6f3d5e,Heterogeneity,intrinsic_elements,OU,INSWA,Shareability_T2B,medium,"Intrinsic Elements is +1.2pp globally on Shareability, but -2.8pp in OU=INSWA. Reversal — drill into OU split before briefing."
90c6ed42,Heterogeneity,intrinsic_elements,OU,GCM,SCD_score,medium,"Intrinsic Elements is +2.3pp globally on SCD Score, but -2.1pp in OU=GCM. Reversal — drill into OU split before briefing."
1a0f1da2,Heterogeneity,intrinsic_elements,OU,INSWA,SCD_score,high,"Intrinsic Elements is +2.3pp globally on SCD Score, but -7.0pp in OU=INSWA. Reversal — drill into OU split before briefing."
1c1b3c6a,Heterogeneity,intrinsic_elements,OU,EME,SCD_score,high,"Intrinsic Elements is +2.3pp globally on SCD Score, but -3.3pp in OU=EME. Reversal — drill into OU split before briefing."
de1beb7d,Heterogeneity,food,OU,INSWA,Attention_T2B,medium,"Food is +1.8pp globally on Attention, but -2.0pp in OU=INSWA. Reversal — drill into OU split before briefing."
6cc8b4b5,Heterogeneity,food,OU,INSWA,Experience_Recall_T2B,high,"Food is +2.7pp globally on Recall, but -7.8pp in OU=INSWA. Reversal — drill into OU split before briefing."
bd054764,Heterogeneity,food,OU,EOU,Brand_Linkage_T2B,medium,"Food is +1.1pp globally on Brand Linkage, but -1.6pp in OU=EOU. Reversal — drill into OU split before briefing."
e38f3545,Heterogeneity,food,OU,GCM,Brand_Linkage_T2B,medium,"Food is +1.1pp globally on Brand Linkage, but -2.1pp in OU=GCM. Reversal — drill into OU split before briefing."
679bc3c1,Heterogeneity,food,OU,INSWA,Brand_Linkage_T2B,medium,"Food is +1.1pp globally on Brand Linkage, but -2.8pp in OU=INSWA. Reversal — drill into OU split before briefing."
a5984ecf,Heterogeneity,food,OU,INSWA,Uniqueness_T2B,high,"Food is +1.6pp globally on Uniqueness, but -3.4pp in OU=INSWA. Reversal — drill into OU split before briefing."
948dac8f,Heterogeneity,food,OU,JSK,Uniqueness_T2B,medium,"Food is +1.6pp globally on Uniqueness, but -1.6pp in OU=JSK. Reversal — drill into OU split before briefing."
70aca331,Heterogeneity,food,OU,EME,Shareability_T2B,medium,"Food is +1.7pp globally on Shareability, but -2.4pp in OU=EME. Reversal — drill into OU split before briefing."
8111b7b3,Heterogeneity,food,OU,INSWA,SCD_score,high,"Food is +4.8pp globally on SCD Score, but -16.2pp in OU=INSWA. Reversal — drill into OU split before briefing."
