feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
human_presence,Attention_T2B,1.1625630544699672,3226,1465,**,0.004119486268802919,0.07434192375349707,58.66203542662116,59.82459848109113,multiple_testing_risk,Global,Global
human_presence,Persuasion_T2B,1.420797566550791,3226,1465,**,0.0043234309837379805,0.0836959431592637,54.032670102389076,55.45346766893987,multiple_testing_risk,Global,Global
human_presence,Likeability_Love_Like_T2B,2.165152768504197,3226,1465,***,6.118859941718521e-05,0.12485660572355672,54.84800293515358,57.01315570365778,multiple_testing_risk,Global,Global
human_presence,Experience_Recall_T2B,2.0215066346735644,3231,1466,**,0.0013084724168326374,0.11501962951192321,35.66546609822647,37.68697273290003,multiple_testing_risk,Global,Global
human_presence,Brand_Linkage_T2B,0.7034563182673148,3226,1465,ns,0.08369842969213576,0.04973174231149045,53.566152423208194,54.26960874147551,multiple_testing_risk,Global,Global
human_presence,Uniqueness_T2B,1.6303207367189376,3226,1465,***,0.0007317171313534831,0.10374543191452859,56.252607781569964,57.8829285182889,multiple_testing_risk,Global,Global
human_presence,Shareability_T2B,1.4103868609813108,3221,1463,*,0.01202478610020018,0.08104368644900248,43.04457532467532,44.45496218565663,multiple_testing_risk,Global,Global
human_presence,SCD_score,0.6819361279438274,3071,1337,ns,0.46784218102777564,0.02705410487067086,49.443133881824984,50.12507000976881,multiple_testing_risk,Global,Global
food_presence,Attention_T2B,2.277559976276189,1110,3581,***,7.217688748565107e-06,0.1438108106010896,58.92260605975984,61.20016603603603,multiple_testing_risk,Global,Global
food_presence,Persuasion_T2B,3.849329702911508,1110,3581,***,2.598955247814417e-11,0.22694774301118795,54.098911197989395,57.948240900900906,multiple_testing_risk,Global,Global
food_presence,Likeability_Love_Like_T2B,4.001831687082225,1110,3581,***,2.7492168975360563e-11,0.23015008237216725,55.39005146607092,59.391883153153145,multiple_testing_risk,Global,Global
food_presence,Experience_Recall_T2B,3.639415175588212,1113,3584,***,7.452877927618564e-11,0.20578040984665844,36.193637025669645,39.83305220125786,multiple_testing_risk,Global,Global
food_presence,Brand_Linkage_T2B,1.7023055031937906,1110,3581,***,0.000691826470443825,0.11984492920624072,53.64711404635576,55.34941954954955,multiple_testing_risk,Global,Global
food_presence,Uniqueness_T2B,1.7024257990998604,1110,3581,**,0.001020811902009499,0.10670007086582024,56.9709454621614,58.673371261261266,multiple_testing_risk,Global,Global
food_presence,Shareability_T2B,2.029396917317705,1106,3578,***,0.00047139982484612386,0.11508080855176783,43.53525489100056,45.56465180831827,multiple_testing_risk,Global,Global
food_presence,SCD_score,4.131406176411229,1068,3340,***,3.257016317822791e-06,0.16591550923712944,48.917245508982035,53.04865168539327,multiple_testing_risk,Global,Global
product_presence,Attention_T2B,1.0442069534876475,2627,2064,**,0.005190335550006307,0.06601215917709358,58.87676506782945,59.9209720213171,multiple_testing_risk,Global,Global
product_presence,Persuasion_T2B,2.0205400791534323,2627,2064,***,3.1146685615322446e-05,0.11810369685579308,53.87823270348837,55.89877278264181,multiple_testing_risk,Global,Global
product_presence,Likeability_Love_Like_T2B,1.9490517218885284,2627,2064,***,7.460174279932477e-05,0.11163641390427347,55.2454925872093,57.19454430909783,multiple_testing_risk,Global,Global
product_presence,Experience_Recall_T2B,3.254684388877438,2632,2065,***,5.37365516000237e-10,0.18389013946691646,35.232244600484265,38.4869289893617,multiple_testing_risk,Global,Global
product_presence,Brand_Linkage_T2B,0.826104433204089,2627,2064,*,0.04894730803309536,0.05760512371738938,53.58729370155039,54.41339813475447,multiple_testing_risk,Global,Global
product_presence,Uniqueness_T2B,0.811602900835251,2627,2064,*,0.03504188734968518,0.051091117638716745,56.91927456395348,57.73087746478873,multiple_testing_risk,Global,Global
product_presence,Shareability_T2B,0.7053074055536901,2622,2062,ns,0.12127244524561116,0.040166923350270584,43.619626576139666,44.32493398169336,multiple_testing_risk,Global,Global
product_presence,SCD_score,2.356152437355119,2517,1891,**,0.002333998923238974,0.09367232446892348,48.57285034373348,50.92900278108859,multiple_testing_risk,Global,Global
animatics_cartoons_presence,Attention_T2B,-5.107416239004825,84,4607,*,0.048692150788319136,-0.2671897438273372,59.55298647710007,54.44557023809524,multiple_testing_risk,Global,Global
animatics_cartoons_presence,Persuasion_T2B,-4.369497735847128,84,4607,*,0.022161083557931,-0.2281689237127764,55.08799535489474,50.71849761904761,multiple_testing_risk,Global,Global
